year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2024,34.3231385106,-118.0001453416,Los Angeles,California,United States,Anaxyrus californicus
2024,32.0772396773,-116.062838249,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,33.487468204,-117.4873136837,Orange,California,United States,Anaxyrus californicus
2024,33.1587471874,-116.8514778383,San Diego,California,United States,Anaxyrus californicus
2024,34.5267647693,-119.1215951853,Ventura,California,United States,Anaxyrus californicus
2024,32.0245311654,-116.0785763886,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.008640058,-116.1174608114,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1321724263,-116.021250702,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,31.9661501988,-116.0318234689,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.0492824417,-116.077940098,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,30.8713145113,-115.7759975771,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.9883769903,-115.6569152301,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,32.7755711918,-116.5496034443,San Diego,California,United States,Anaxyrus californicus
2024,34.5609797513,-119.0060823279,Ventura,California,United States,Anaxyrus californicus
2024,34.2994947675,-118.0023406821,Los Angeles,California,United States,Anaxyrus californicus
2024,34.568193221,-119.048956924,Ventura,California,United States,Anaxyrus californicus
2024,34.4835824349,-119.0920266127,Ventura,California,United States,Anaxyrus californicus
2024,34.459345637,-119.145113905,Ventura,California,United States,Anaxyrus californicus
2024,34.4004720654,-119.0731677258,Ventura,California,United States,Anaxyrus californicus
2024,34.32660576,-118.0416643087,Los Angeles,California,United States,Anaxyrus californicus
2024,34.2822036007,-118.1333073397,Los Angeles,California,United States,Anaxyrus californicus
2024,34.3550958479,-118.1246119317,Los Angeles,California,United States,Anaxyrus californicus
2024,34.2746561346,-118.1764590394,Los Angeles,California,United States,Anaxyrus californicus
2024,30.9174675931,-115.6510568774,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.9514054174,-115.7894287521,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,30.9161444444,-115.6522833333,Ensenada,Baja California,Mexico,Anaxyrus californicus
2019,33.4733308607,-117.745210208,Orange,California,United States,Anaxyrus californicus
2024,34.3055546466,-118.1133527659,Los Angeles,California,United States,Anaxyrus californicus
